"Parameter Name","Code value","Decode value"
"Branch Info","001","Si Phraya Branch"
"Branch Info","002","Phahurad Branch"
"Branch Info","003","Songwad Branch"
"Branch Info","004","Mercury Ville Chidlom Branch"
"Branch Info","005","Buntudthong Branch"
"Branch Info","006","Chonburi Branch"
"Branch Info","007","Nakhon Ratchasima Branch"
"Branch Info","008","Nakhon Sri Thammarat Branch"
"Branch Info","010","Hat Yai Branch"
"Branch Info","011","Yala Branch"
"Branch Info","012","Ban Bung Branch"
"Branch Info","013","Bang Lamung Branch"
"Branch Info","017","Thanon Sridonchai Chiangmai Branch Branch"
"Branch Info","019","Chachoengsao Branch"
"Branch Info","021","Phuket Branch"
"Branch Info","023","Ubon Ratchathani Branch"
"Branch Info","024","Khon Kaen Branch"
"Branch Info","025","Bobae Branch"
"Branch Info","026","Nonthaburi Branch"
"Branch Info","029","Bangrak Branch"
"Branch Info","030","Samrong Branch"
"Branch Info","031","Phitsanulok Branch"
"Branch Info","036","Anusavaree Chaisamoraphoom Branch"
"Branch Info","037","Saraburi Branch"
"Branch Info","038","Suksawat Branch"
"Branch Info","039","Ladphrao Branch"
"Branch Info","040","Surin Branch"
"Branch Info","041","Lampang Branch"
"Branch Info","042","Nakhon Sawan Branch"
"Branch Info","043","Sukhumvit 25 Branch"
"Branch Info","044","Udon Thani Branch"
"Branch Info","045","Chanthaburi Branch"
"Branch Info","046","Sam Yaek Branch"
"Branch Info","047","Sathon Head Office"
"Branch Info","049","Phra Pinklao Branch"
"Branch Info","050","Rayong Branch"
"Branch Info","051","Klong Toey Branch"
"Branch Info","052","Hua Mark Branch"
"Branch Info","054","Thanon Yaowaraj Branch"
"Branch Info","055","Wongwian  Odean"
"Branch Info","057","Chaengwatana Branch"
"Branch Info","058","Surat Thani Branch"
"Branch Info","060","Seacon Bangkae Branch"
"Branch Info","061","Chiang Rai Branch"
"Branch Info","062","On Nut Branch"
"Branch Info","063","Talad Si Mummuang Branch"
"Branch Info","064","The Mall Bangkapi Branch"
"Branch Info","067","Bangna K.M.2 Branch"
"Branch Info","068","Soi Yoo Dee Branch"
"Branch Info","070","City Complex Branch"
"Branch Info","072","Siam Square Branch"
"Branch Info","073","Thanon Vorachak Branch"
"Branch Info","076","Silom Complex Branch"
"Branch Info","077","Nakhon Pathom Branch"
"Branch Info","079","Phaholyothin K.M.26 Branch"
"Branch Info","080","Had Patong Branch"
"Branch Info","081","Pattaya Branch"
"Branch Info","082","The Mall Ngamwongwan Branch"
"Branch Info","083","Ban Chang Branch"
"Branch Info","084","Thanon Phaholyothin 8 Branch"
"Branch Info","086","Samut Sakhon Branch"
"Branch Info","087","Nong Khaem Branch"
"Branch Info","088","Sriracha Branch"
"Branch Info","089","Ratchada-Sathupradit Branch"
"Branch Info","091","Thanon Witthayu Branch"
"Branch Info","092","Phra Nakhon Si Ayutthaya Branch"
"Branch Info","093","Bang Bon Branch"
"Branch Info","094","Thai Wah Tower Branch"
"Branch Info","095","Sukhumvit 4 Branch"
"Branch Info","096","Ratchada-Huay Khwang Branch"
"Branch Info","097","Thanon Sri Wara Branch"
"Branch Info","098","Phaholyothin Soi 19 Branch"
"Branch Info","099","Soi Saintlouis 3 Branch"
"Branch Info","100","Fashion Island Branch"
"Branch Info","101","Thonglor Branch"
"Branch Info","102","Rangsit Branch Branch"
"Branch Info","106","Suntowers Branch"
"Branch Info","107","Thanon Phraram 9 Branch"
"Branch Info","109","Thanon Highway-Chiangmai Branch"
"Branch Info","110","The Phyll Sukhumvit 54 Branch"
"Branch Info","111","Thanon Pracha-U-Thit Branch"
"Branch Info","113","Paradise Park Branch"
"Branch Info","114","101 The Third Place Branch"
"Branch Info","115","Nakhon Ratchasima 2 Branch"
"Branch Info","116","Chonburi 2 Branch"
"Branch Info","117","Sathon 2 Branch"
"Branch Info","120","Ratchaburi Branch"
"Branch Info","122","Central World Branch"
"Branch Info","123","Thanon Phraram 6 Branch"
"Branch Info","124","Central Bangna Branch"
"Branch Info","125","Central Grand Rama 9 Branch"
"Branch Info","126","Eastern Seaboard Branch"
"Branch Info","127","Central Pinklao Branch"
"Branch Info","129","Central Festival Phuket Branch"
"Branch Info","131","BTS On Nut Branch"
"Branch Info","135","Robinson Sriracha Branch"
"Branch Info","136","Central Plaza Ramindra Branch"
"Branch Info","138","Central Rama 2 Branch"
"Branch Info","140","Kanchanaburi Branch"
"Branch Info","141","Samut Songkhram Branch"
"Branch Info","142","Roiet Branch"
"Branch Info","143","Trang Branch"
"Branch Info","145","Sakon Nakhon Branch"
"Branch Info","149","Minburi Branch"
"Branch Info","150","Manorom Branch"
"Branch Info","151","Big C Omyai Branch"
"Branch Info","152","Central Plaza WestGate Branch"
"Branch Info","153","Central Airport Chiangmai Branch"
"Branch Info","154","Yaowarat Mahajak Branch"
"Branch Info","155","Market Village suvarnabhumi Branch"
"Branch Info","156","Talad Thai Branch"
"Branch Info","158","Map Ta Phut Branch"
"Branch Info","159","Passione Shopping Destination Branch"
"Branch Info","160","Central Plaza Chonburi Branch"
"Branch Info","162","Robinson Samutprakan Branch"
"Branch Info","163","The Circle Ratchapruk Branch"
"Branch Info","164","Thanon Phetkasem Hatyai Branch"
"Branch Info","165","Mega Bangna Branch"
"Branch Info","166","Gateway Ekamai Branch"
"Branch Info","169","United Center Branch"
"Branch Info","171","Ban Huay Udonthani Branch"
"Branch Info","172","Ha Yeak Chalong Phuket Branch"
"Branch Info","173","Central Plaza Rama 3 Branch"
"Branch Info","174","Seacon Square Branch"
"Branch Info","175","Amata Nakhon  Branch"
"Branch Info","176","UOB Wealth Banking Centre - Siam Paragon Branch"
"Branch Info","177","Thanon Thapae Chiangmai Branch"
"Branch Info","178","Sindhorn Tower Branch"
"Branch Info","179","Iconsiam Branch"
"Branch Info","180","Central Festival East Ville Branch"
"Branch Info","182","Interchange 21"
"Branch Info","183","The Crystal"
"Branch Info","201","Surawong Branch"
"Branch Info","202","Ratchawong Branch"
"Branch Info","203","Asoke Montri Branch"
"Branch Info","206","Chiang Mai - Huaikaew Branch"
"Branch Info","208","Khon Kaen - Thanon Mittraparb Branch"
"Branch Info","210","Senanikom Branch"
"Branch Info","214","Srinakarin Branch"
"Branch Info","216","Pattanakarn Branch"
"Branch Info","221","Thanon Sukhaphiban 3 Branch"
"Branch Info","226","The Mall Bangkae Branch"
"Branch Info","227","Central Rattanathibet Branch"
"Branch Info","236","Bangbuathong Branch"
"Branch Info","238","Muang Thong Thani Branch"
"Branch Info","240","Thanon Krungthonburi Branch"
"Branch Info","244","Ratchada-Thaphra Branch"
"Branch Info","247","Bangplee Branch"
"Branch Info","258","Silom 2 Branch"
"Branch Info","260","Si yeak Sriwara Branch"
"Branch Info","261","Bangmod Branch"
"Branch Info","262","Thanon Asoke-Dindaeng Branch"
"Branch Info","267","Ratchaprarop Branch"
"Branch Info","299","Sukhumvit 26 Branch (Temporary office)"
"Branch Info","300","Dummy Branch"
"Branch Info","301","Dummy Branch"
"Branch Info","302","Dummy Branch"
"Branch Info","303","Dummy Branch"
"Branch Info","304","Dummy Branch"
"Branch Info","305","Dummy Branch"
"Branch Info","306","Dummy Branch"
"Branch Info","307","Dummy Branch"
"Branch Info","308","Dummy Branch"
"Branch Info","309","Dummy Branch"
"Branch Info","310","Dummy Branch"
"Branch Info","311","Dummy Branch"
"Branch Info","312","Dummy Branch"
"Branch Info","313","Dummy Branch"
"Branch Info","314","Dummy Branch"
"Branch Info","315","Dummy Branch"
"Branch Info","316","Dummy Branch"
"Branch Info","317","Dummy Branch"
"Branch Info","318","Dummy Branch"
"Branch Info","319","Dummy Branch"
"Branch Info","320","Dummy Branch"
"Branch Info","321","Dummy Branch"
"Branch Info","322","Dummy Branch"
"Branch Info","323","Dummy Branch"
"Branch Info","324","Dummy Branch"
"Branch Info","325","Dummy Branch"
"Branch Info","326","Dummy Branch"
"Branch Info","327","Dummy Branch"
"Branch Info","328","Dummy Branch"
"Branch Info","329","Dummy Branch"
"Branch Info","330","Dummy Branch"
"Branch Info","331","Dummy Branch"
"Branch Info","332","Dummy Branch"
"Branch Info","333","Dummy Branch"
"Branch Info","334","Dummy Branch"
"Branch Info","335","Dummy Branch"
"Branch Info","336","Dummy Branch"
"Branch Info","337","Dummy Branch"
"Branch Info","338","Dummy Branch"
"Branch Info","339","Dummy Branch"
"Branch Info","340","Dummy Branch"
"Branch Info","341","Dummy Branch"
"Branch Info","342","Dummy Branch"
"Branch Info","343","Dummy Branch"
"Branch Info","344","Dummy Branch"
"Branch Info","345","Dummy Branch"
"Branch Info","346","Dummy Branch"
"Branch Info","347","Dummy Branch"
"Branch Info","348","Dummy Branch"
"Branch Info","349","Dummy Branch"
"Branch Info","350","Dummy Branch"
"Branch Info","351","Dummy Branch"
"Branch Info","352","Dummy Branch"
"Branch Info","353","Dummy Branch"
"Branch Info","354","Dummy Branch"
"Branch Info","355","Dummy Branch"
"Branch Info","356","Dummy Branch"
"Branch Info","357","Dummy Branch"
"Branch Info","358","Dummy Branch"
"Branch Info","359","Dummy Branch"
"Branch Info","360","Dummy Branch"
"Branch Info","361","Dummy Branch"
"Branch Info","362","Dummy Branch"
"Branch Info","363","Dummy Branch"
"Branch Info","364","Dummy Branch"
"Branch Info","365","Dummy Branch"
"Branch Info","366","Dummy Branch"
"Branch Info","367","Dummy Branch"
"Branch Info","368","Dummy Branch"
"Branch Info","369","Dummy Branch"
"Branch Info","370","Dummy Branch"
"Branch Info","371","Dummy Branch"
"Branch Info","372","Dummy Branch"
"Branch Info","373","Dummy Branch"
"Branch Info","374","Dummy Branch"
"Branch Info","375","Dummy Branch"
"Branch Info","376","Dummy Branch"
"Branch Info","377","Dummy Branch"
"Branch Info","378","Dummy Branch"
"Branch Info","379","Dummy Branch"
"Branch Info","380","Dummy Branch"
"Branch Info","381","Dummy Branch"
"Branch Info","382","Dummy Branch"
"Branch Info","383","Dummy Branch"
"Branch Info","384","Dummy Branch"
"Branch Info","385","Dummy Branch"
"Branch Info","386","Dummy Branch"
"Branch Info","387","Dummy Branch"
"Branch Info","388","Dummy Branch"
"Branch Info","389","Dummy Branch"
"Branch Info","390","Dummy Branch"
"Branch Info","391","Dummy Branch"
"Branch Info","392","Dummy Branch"
"Branch Info","393","Dummy Branch"
"Branch Info","394","Dummy Branch"
"Branch Info","395","Dummy Branch"
"Branch Info","396","Dummy Branch"
"Branch Info","397","Dummy Branch"
"Branch Info","398","Dummy Branch"
"Branch Info","399","Dummy Branch"
"Branch Info","683","ASD Governance and Process Enhancement"
"Branch Info","767","Business Process Management"
"Branch Info","767","Product Management"
"Branch Info","767","Product Specialist"
"Branch Info","769","BBC-Bang Lamung"
"Branch Info","769","BBC-Bangbon"
"Branch Info","769","BBC-Bangna"
"Branch Info","769","BBC-Bangrak"
"Branch Info","769","BBC-Centralize"
"Branch Info","769","BBC-Chiangmai"
"Branch Info","769","BBC-Chiangmai Tha Phae"
"Branch Info","769","BBC-Chinatown"
"Branch Info","769","BBC-Chonburi"
"Branch Info","769","BBC-Hatyai"
"Branch Info","769","BBC-Khonkaen"
"Branch Info","769","BBC-Muangthong"
"Branch Info","769","BBC-Nakhonpathom"
"Branch Info","769","BBC-Nakhonratchasima"
"Branch Info","769","BBC-Nakornsawan"
"Branch Info","769","BBC-Pattanakarn"
"Branch Info","769","BBC-Phaholyothin"
"Branch Info","769","BBC-Phuket"
"Branch Info","769","BBC-Pinklao"
"Branch Info","769","BBC-Rayong"
"Branch Info","769","BBC-Siam Square"
"Branch Info","769","BBC-Silom Sathorn"
"Branch Info","769","BBC-Sriwara"
"Branch Info","769","BBC-Sukhumvit"
"Branch Info","769","BBC-Suratthani"
"Branch Info","769","BBC-Ubonratchathani"
"Branch Info","769","BBC-Udonthanee"
"Branch Info","769","Financial Relationship Management"
"Branch Info","769","Financial Relationship Management Team 1"
"Branch Info","769","Financial Relationship Management Team 2"
"Branch Info","769","FSCM & Strategic Alliance"
"Branch Info","777","Channels Process Management"
"Branch Info","927","BTOMS"
"Branch Info","927","BTS - Project Management"
"Branch Info","977","MDS Team A"
"Branch Info","977","MDS Team B"
"Branch Info","977","MDS Team D"
"Branch Info","977","MDS Team G"
"Branch Info","977","MDS Team R"
"Branch Info","977","MDS Team UPC"
"Branch Info","977","MLS"
"Branch Info","977","PLC Mortgage Specialist"
"Branch Info","979","Credit Card Products"
"Branch Info","980","Mass & Digital Products"
"Authority","ROLE_ADMIN","ROLE_ADMIN"
"Authority","ROLE_AFTER","ROLE_AFTER"
"Authority","ROLE_BRANCH","ROLE_BRANCH"
"Authority","ROLE_BRANCH_HO","ROLE_BRANCH_HO"
"Authority","ROLE_CARD_OPERATIONS","ROLE_CARD_OPERATIONS"
"Authority","ROLE_CHECKER","ROLE_CHECKER"
"Authority","ROLE_EDC_ADMIN","ROLE_EDC_ADMIN"
"Authority","ROLE_IDM_CHECKER","ROLE_IDM_CHECKER"
"Authority","ROLE_IDM_MAKER","ROLE_IDM_MAKER"
"Authority","ROLE_ITOPER","ROLE_ITOPER"
"Authority","ROLE_MESSENGER","ROLE_MESSENGER"
"Authority","ROLE_MOBILIZED_RM","ROLE_MOBILIZED_RM"
"Authority","ROLE_PARAM_ADMIN","ROLE_PARAM_ADMIN"
"Authority","ROLE_SALES_SUPPORT","ROLE_SALES_SUPPORT"
"Authority","ROLE_TEST","ROLE_TEST"
"TotalCount","317"